,Unnamed: 0,title,view,like,unlike,comment,date,comment_text
0,0,[롤] 감스트 ★도파★님 초대석.. 명강의를 듣고 깨달았습니다! 롤 잘하고싶은 분들 다 들어오세요!! LOL,2242060,28000,754,6346,2021.1.17, 이건 롤이 아니라 그냥 인생을 가르쳐주는 강의 같았다 다음에 휴방하고 시간동안 롤만하는 브이로그 찍어서 올릴게요 쉴때 롤만해야겠네요 참고로 요새는 녹턴리산드라 연습중입니다 도파가 감스트한테 이만큼 진지하게 가르쳐줄지 상상도 못했다 진짜 도선생 도선생 하는 이유가 있네 더도 말고 덜도 말고 정말 필요한 것만 가르쳐주고 가는거 이다 
1,1,"감스트 레전드 술먹방 feat. 킹기훈, 봉준",2235202,2000,684,1992,2020.8.17,술먹는 만큼 운동도 열심히 하는중 이니 걱정마세요 감스트님 이렇게 셋이 있으니까 진짜 살빠진게 느껴집니다 인직이형이 제일 편해하는 비제이 둘이랑 편하게 방송하는거 너무 재밌었다 빨리 기훈이랑 감크루 하는것도 보고싶네 존나 쩝쩝대네 진짴 봉준이 티셔츠 뭐 적혀있나 싶었는데 뽀로로와 친구들시발 
2,2,[롤] 감스트 드디어 끝!! 4연승성공! 생방송10만명이 놀란 레전드경기!! LOL,2232659,22000,544,4396,2020.5.7,드디어 끝났습니다 영상 좋아요 한번 부탁드립니다 시간의 힘든시간 생방 본 사람들은 알거임 애쉬가 영상보다 훨씬 더 역겨웠다는 거 똥 싸러 간다는 것도 여러 번 했고 이기면 욕하지말라 퀵뷰 년치 달라고 했었음 애쉬 존내역겹네 트롤이 벼슬이 된 세상 애쉬 현실 개찐따 일듯 애쉬 닉 불빠따갈 이새기 박제 잭스 닉 눈의티 
3,3,[롤] 감스트 북한말쓰면서 롤 듀오ㅋㅋㅋ LOL,2231424,18000,612,1857,2020.4.30,이번화에는 끝날줄 알았는데 아직도 안끝났네 영상 좋아요 한번씩 부탁드립니다 그리고 재밌으시면 구독알람설정종 모양도 부탁드립니다 항상 시청해주셔서 고맙습니다 감사합니다 이번주 좋은일만 있으시길 바랍니다   이 두자식들 방송핑계로 모국어 쓰고있네 자연스럽다 진짜 북한말 
4,4,감스트 한국3대흉가에 분명히 4명이서 갔는데...실종.. 실제상황..,2230052,24000,1300,7666,2020.9.12,감스트가 불러줘서 너무 좋았고 행복한방송 이였습니다 저 아직도 빙의가 안풀렸어요 불러주셔서 감사합니다 보라의신 감스트 고마워 영상 처음부터 끝까지 꼭 보세요 와 개인적으로 존나 무서웠던거 영상 한참 보다 살짝 위에 봤는데 데이터 켜져 있었음 진짜 심장이 철렁했다 에 가지마 라고 소리들림 
5,5,[롤] 감스트 40시간동안 3시간자고 롤 하면 생기는 일.. LOL,2228515,17000,546,1949,2020.4.28,요새 너무 많이 사랑해주셔서 감사합니다 싸발적이네요 잠은 꼭 자고 롤하세요 영상 좋아요 한번씩 꼭 부탁드립니다 아아 그리고 봉준이랑 성태랑 다 친해서 저희끼리 욕하고 하는거니 이해부탁드립니다 아니 웃기네 싸발 티모 보라고 야 유미할때 이해좀 나 시간 자고 했었어 못하는데 더 못해짐 진짜  
6,6,감스트 어몽어스 말이 필요 없는 원맨쇼 10레전드!!ㅋㅋ,2227323,18000,761,3201,2020.10.3,쨔스 담에 또 같이해여 편집자 고생하셨겠네 들 캠 다 녹화하고 명 싱크까지 맞추는거 쉽지않은데 밴트타는 신기루를 봐버린 뮤진입니다 너무 재미있었어요 인지기 바보 편집자님 진짜 정성이 느껴지는 게 얼굴 사진부터 캐릭터 바뀔 때마다 그 비제이 글자 색깔까지 정성이 대단합니다 
7,7,감스트 범죄와의 전쟁,2217484,17000,636,1685,2020.4.22,스턴건 맞으면서 인직거리네 싸발 형은 가 제일 재밌어 아니 지금 와서 왜 그러는겨 그냥 재밌게 봅시다 순직 웃기네 썸넬이 날이 갈 수록 좋아지네 으인직 
8,8,GAMST(감스트) - '기다릴게' Official M/V,2202317,31000,1500,10100,2019.3.14,안녕하세요 감튜브입니다 감스트가 직접작사한 기다릴게라는 곡은 멜론이나 각종음원사이트 에서도 들으실수 있습니다 맨만숙 꺼져줄래 나 욕해도 되니까 기다릴게   
9,9,[롤] 감스트x트할 페이커님 연속3번 만남..랭겜에서 레전드!! LOL,2203438,15000,644,1165,2020.6.25,합방먼저 얘기해주셔서감사합니다 감스트님이랑 같이합방해서즐거웠고 재밌게놀다가갑니다 감스트가 롤을 할때 우리는 그의 실력이 아닌 머리카락과 뱃살이 늘어나는것을 느낄 수 있다 뭐 영상 좋아요 부탁드립니다 알람설정도 꼭 해주세요 하시면 영상 바로 보실수 있습니다 알람날라갑니다 형 초대석은 항상 꿀잼이지만 개인적으로 이번 트할님 초대석은 특히 더 개꿀잼 티키타카 너무 스무스해서 지루할 틈 도 없었음 거기에 번이나 페이커님 만난거 쌉 레전드 우리 라스후배 페이커 왔능가 
